Fecha;Valor
01-01-2019 00:00:00;54
02-01-2019 00:00:00;52
03-01-2019 00:00:00;51
04-01-2019 00:00:00;50
05-01-2019 00:00:00;49
06-01-2019 00:00:00;48
07-01-2019 00:00:00;46
08-01-2019 00:00:00;46
09-01-2019 00:00:00;44
10-01-2019 00:00:00;44
11-01-2019 00:00:00;43
12-01-2019 00:00:00;42
13-01-2019 00:00:00;40
14-01-2019 00:00:00;40
15-01-2019 00:00:00;41
16-01-2019 00:00:00;45
17-01-2019 00:00:00;48
18-01-2019 00:00:00;45
19-01-2019 00:00:00;45
20-01-2019 00:00:00;49
21-01-2019 00:00:00;62
22-01-2019 00:00:00;222
23-01-2019 00:00:00;263
24-01-2019 00:00:00;788
25-01-2019 00:00:00;1447
26-01-2019 00:00:00;1742
27-01-2019 00:00:00;1116
28-01-2019 00:00:00;642
29-01-2019 00:00:00;957
30-01-2019 00:00:00;979
31-01-2019 00:00:00;849
01-02-2019 00:00:00;1078
02-02-2019 00:00:00;1315
03-02-2019 00:00:00;1143
04-02-2019 00:00:00;862
05-02-2019 00:00:00;664
06-02-2019 00:00:00;689
07-02-2019 00:00:00;700
08-02-2019 00:00:00;639
09-02-2019 00:00:00;563
10-02-2019 00:00:00;487
11-02-2019 00:00:00;496
12-02-2019 00:00:00;552
13-02-2019 00:00:00;455
14-02-2019 00:00:00;387
15-02-2019 00:00:00;340
16-02-2019 00:00:00;299
17-02-2019 00:00:00;272
18-02-2019 00:00:00;252
19-02-2019 00:00:00;244
20-02-2019 00:00:00;238
21-02-2019 00:00:00;215
22-02-2019 00:00:00;200
23-02-2019 00:00:00;186
24-02-2019 00:00:00;176
25-02-2019 00:00:00;170
26-02-2019 00:00:00;155
27-02-2019 00:00:00;152
28-02-2019 00:00:00;145
01-03-2019 00:00:00;141
02-03-2019 00:00:00;135
03-03-2019 00:00:00;124
04-03-2019 00:00:00;121
05-03-2019 00:00:00;113
06-03-2019 00:00:00;112
07-03-2019 00:00:00;118
08-03-2019 00:00:00;123
09-03-2019 00:00:00;122
10-03-2019 00:00:00;123
11-03-2019 00:00:00;116
12-03-2019 00:00:00;116
13-03-2019 00:00:00;115
14-03-2019 00:00:00;110
15-03-2019 00:00:00;128
16-03-2019 00:00:00;122
17-03-2019 00:00:00;108
18-03-2019 00:00:00;94
19-03-2019 00:00:00;88
20-03-2019 00:00:00;121
21-03-2019 00:00:00;148
22-03-2019 00:00:00;132
23-03-2019 00:00:00;121
24-03-2019 00:00:00;105
25-03-2019 00:00:00;88
26-03-2019 00:00:00;82
27-03-2019 00:00:00;72
28-03-2019 00:00:00;70
29-03-2019 00:00:00;65
30-03-2019 00:00:00;61
31-03-2019 00:00:00;58
01-04-2019 00:00:00;60
02-04-2019 00:00:00;59
03-04-2019 00:00:00;57
04-04-2019 00:00:00;58
05-04-2019 00:00:00;60
06-04-2019 00:00:00;64
07-04-2019 00:00:00;70
08-04-2019 00:00:00;77
09-04-2019 00:00:00;70
10-04-2019 00:00:00;79
11-04-2019 00:00:00;78
12-04-2019 00:00:00;96
13-04-2019 00:00:00;97
14-04-2019 00:00:00;94
15-04-2019 00:00:00;84
16-04-2019 00:00:00;106
17-04-2019 00:00:00;152
18-04-2019 00:00:00;127
19-04-2019 00:00:00;127
20-04-2019 00:00:00;194
21-04-2019 00:00:00;193
22-04-2019 00:00:00;158
23-04-2019 00:00:00;131
24-04-2019 00:00:00;119
25-04-2019 00:00:00;122
26-04-2019 00:00:00;276
27-04-2019 00:00:00;232
28-04-2019 00:00:00;187
29-04-2019 00:00:00;164
30-04-2019 00:00:00;141
01-05-2019 00:00:00;121
02-05-2019 00:00:00;103
03-05-2019 00:00:00;94
04-05-2019 00:00:00;94
05-05-2019 00:00:00;91
06-05-2019 00:00:00;84
07-05-2019 00:00:00;76
08-05-2019 00:00:00;68
09-05-2019 00:00:00;63
10-05-2019 00:00:00;58
11-05-2019 00:00:00;71
12-05-2019 00:00:00;74
13-05-2019 00:00:00;61
14-05-2019 00:00:00;60
15-05-2019 00:00:00;55
16-05-2019 00:00:00;54
17-05-2019 00:00:00;89
18-05-2019 00:00:00;216
19-05-2019 00:00:00;200
20-05-2019 00:00:00;472
21-05-2019 00:00:00;287
22-05-2019 00:00:00;188
23-05-2019 00:00:00;146
24-05-2019 00:00:00;125
25-05-2019 00:00:00;126
26-05-2019 00:00:00;116
27-05-2019 00:00:00;111
28-05-2019 00:00:00;107
29-05-2019 00:00:00;95
30-05-2019 00:00:00;89
31-05-2019 00:00:00;83
01-06-2019 00:00:00;74
02-06-2019 00:00:00;72
03-06-2019 00:00:00;64
04-06-2019 00:00:00;61
05-06-2019 00:00:00;65
06-06-2019 00:00:00;109
07-06-2019 00:00:00;98
08-06-2019 00:00:00;78
09-06-2019 00:00:00;72
10-06-2019 00:00:00;63
11-06-2019 00:00:00;60
12-06-2019 00:00:00;63
13-06-2019 00:00:00;56
14-06-2019 00:00:00;58
15-06-2019 00:00:00;54
16-06-2019 00:00:00;44
17-06-2019 00:00:00;45
18-06-2019 00:00:00;38
19-06-2019 00:00:00;44
20-06-2019 00:00:00;48
21-06-2019 00:00:00;49
22-06-2019 00:00:00;56
23-06-2019 00:00:00;53
24-06-2019 00:00:00;51
25-06-2019 00:00:00;49
26-06-2019 00:00:00;44
27-06-2019 00:00:00;43
28-06-2019 00:00:00;43
29-06-2019 00:00:00;42
30-06-2019 00:00:00;39
01-07-2019 00:00:00;42
02-07-2019 00:00:00;47
03-07-2019 00:00:00;52
04-07-2019 00:00:00;50
05-07-2019 00:00:00;52
06-07-2019 00:00:00;51
07-07-2019 00:00:00;53
08-07-2019 00:00:00;64
09-07-2019 00:00:00;191
10-07-2019 00:00:00;118
11-07-2019 00:00:00;74
12-07-2019 00:00:00;50
13-07-2019 00:00:00;40
14-07-2019 00:00:00;45
15-07-2019 00:00:00;54
16-07-2019 00:00:00;50
17-07-2019 00:00:00;46
18-07-2019 00:00:00;43
19-07-2019 00:00:00;37
20-07-2019 00:00:00;34
21-07-2019 00:00:00;37
22-07-2019 00:00:00;47
23-07-2019 00:00:00;50
24-07-2019 00:00:00;47
25-07-2019 00:00:00;45
26-07-2019 00:00:00;43
27-07-2019 00:00:00;48
28-07-2019 00:00:00;51
29-07-2019 00:00:00;55
30-07-2019 00:00:00;51
31-07-2019 00:00:00;48
01-08-2019 00:00:00;45
02-08-2019 00:00:00;49
03-08-2019 00:00:00;54
04-08-2019 00:00:00;51
05-08-2019 00:00:00;49
06-08-2019 00:00:00;44
07-08-2019 00:00:00;42
08-08-2019 00:00:00;43
09-08-2019 00:00:00;45
10-08-2019 00:00:00;54
11-08-2019 00:00:00;54
12-08-2019 00:00:00;54
13-08-2019 00:00:00;53
14-08-2019 00:00:00;47
15-08-2019 00:00:00;46
16-08-2019 00:00:00;45
17-08-2019 00:00:00;43
18-08-2019 00:00:00;43
19-08-2019 00:00:00;43
20-08-2019 00:00:00;45
21-08-2019 00:00:00;45
22-08-2019 00:00:00;41
23-08-2019 00:00:00;43
24-08-2019 00:00:00;49
25-08-2019 00:00:00;48
26-08-2019 00:00:00;49
27-08-2019 00:00:00;56
28-08-2019 00:00:00;58
29-08-2019 00:00:00;56
30-08-2019 00:00:00;47
31-08-2019 00:00:00;44
01-09-2019 00:00:00;44
02-09-2019 00:00:00;45
03-09-2019 00:00:00;44
04-09-2019 00:00:00;45
05-09-2019 00:00:00;43
06-09-2019 00:00:00;42
07-09-2019 00:00:00;41
08-09-2019 00:00:00;44
09-09-2019 00:00:00;46
10-09-2019 00:00:00;45
11-09-2019 00:00:00;50
12-09-2019 00:00:00;57
13-09-2019 00:00:00;66
14-09-2019 00:00:00;56
15-09-2019 00:00:00;47
16-09-2019 00:00:00;64
17-09-2019 00:00:00;67
18-09-2019 00:00:00;64
19-09-2019 00:00:00;76
20-09-2019 00:00:00;62
21-09-2019 00:00:00;63
22-09-2019 00:00:00;60
23-09-2019 00:00:00;54
24-09-2019 00:00:00;51
25-09-2019 00:00:00;46
26-09-2019 00:00:00;42
27-09-2019 00:00:00;41
28-09-2019 00:00:00;37
29-09-2019 00:00:00;37
30-09-2019 00:00:00;37
01-10-2019 00:00:00;43
02-10-2019 00:00:00;44
03-10-2019 00:00:00;45
04-10-2019 00:00:00;45
05-10-2019 00:00:00;49
06-10-2019 00:00:00;48
07-10-2019 00:00:00;45
08-10-2019 00:00:00;44
09-10-2019 00:00:00;45
10-10-2019 00:00:00;45
11-10-2019 00:00:00;44
12-10-2019 00:00:00;45
13-10-2019 00:00:00;45
14-10-2019 00:00:00;48
15-10-2019 00:00:00;49
16-10-2019 00:00:00;47
17-10-2019 00:00:00;45
18-10-2019 00:00:00;46
19-10-2019 00:00:00;48
20-10-2019 00:00:00;50
21-10-2019 00:00:00;54
22-10-2019 00:00:00;56
23-10-2019 00:00:00;72
24-10-2019 00:00:00;77
25-10-2019 00:00:00;89
26-10-2019 00:00:00;146
27-10-2019 00:00:00;92
28-10-2019 00:00:00;67
29-10-2019 00:00:00;50
30-10-2019 00:00:00;40
31-10-2019 00:00:00;36
01-11-2019 00:00:00;36
02-11-2019 00:00:00;37
03-11-2019 00:00:00;54
04-11-2019 00:00:00;52
05-11-2019 00:00:00;59
06-11-2019 00:00:00;79
07-11-2019 00:00:00;212
08-11-2019 00:00:00;227
09-11-2019 00:00:00;371
10-11-2019 00:00:00;629
11-11-2019 00:00:00;781
12-11-2019 00:00:00;702
13-11-2019 00:00:00;646
14-11-2019 00:00:00;526
15-11-2019 00:00:00;549
16-11-2019 00:00:00;457
17-11-2019 00:00:00;498
18-11-2019 00:00:00;454
19-11-2019 00:00:00;508
20-11-2019 00:00:00;466
21-11-2019 00:00:00;337
22-11-2019 00:00:00;286
23-11-2019 00:00:00;340
24-11-2019 00:00:00;714
25-11-2019 00:00:00;801
26-11-2019 00:00:00;503
27-11-2019 00:00:00;381
28-11-2019 00:00:00;377
29-11-2019 00:00:00;348
30-11-2019 00:00:00;338
01-12-2019 00:00:00;442
02-12-2019 00:00:00;520
03-12-2019 00:00:00;395
04-12-2019 00:00:00;364
05-12-2019 00:00:00;314
06-12-2019 00:00:00;265
07-12-2019 00:00:00;234
08-12-2019 00:00:00;206
09-12-2019 00:00:00;187
10-12-2019 00:00:00;192
11-12-2019 00:00:00;210
12-12-2019 00:00:00;208
13-12-2019 00:00:00;585
14-12-2019 00:00:00;1727
15-12-2019 00:00:00;1440
16-12-2019 00:00:00;965
17-12-2019 00:00:00;808
18-12-2019 00:00:00;568
19-12-2019 00:00:00;450
20-12-2019 00:00:00;412
21-12-2019 00:00:00;905
22-12-2019 00:00:00;1342
23-12-2019 00:00:00;1119
24-12-2019 00:00:00;811
25-12-2019 00:00:00;573
26-12-2019 00:00:00;468
27-12-2019 00:00:00;382
28-12-2019 00:00:00;323
29-12-2019 00:00:00;287
30-12-2019 00:00:00;263
31-12-2019 00:00:00;249
01-01-2020 00:00:00;234
02-01-2020 00:00:00;223
03-01-2020 00:00:00;213
04-01-2020 00:00:00;208
05-01-2020 00:00:00;200
06-01-2020 00:00:00;193
07-01-2020 00:00:00;189
08-01-2020 00:00:00;182
09-01-2020 00:00:00;170
10-01-2020 00:00:00;163
11-01-2020 00:00:00;161
12-01-2020 00:00:00;171
13-01-2020 00:00:00;164
14-01-2020 00:00:00;161
15-01-2020 00:00:00;147
16-01-2020 00:00:00;125
17-01-2020 00:00:00;119
18-01-2020 00:00:00;119
19-01-2020 00:00:00;146
20-01-2020 00:00:00;222
21-01-2020 00:00:00;212
22-01-2020 00:00:00;187
23-01-2020 00:00:00;175
24-01-2020 00:00:00;187
25-01-2020 00:00:00;186
26-01-2020 00:00:00;166
27-01-2020 00:00:00;181
28-01-2020 00:00:00;168
29-01-2020 00:00:00;170
30-01-2020 00:00:00;174
31-01-2020 00:00:00;186
01-02-2020 00:00:00;206
02-02-2020 00:00:00;205
03-02-2020 00:00:00;196
04-02-2020 00:00:00;193
05-02-2020 00:00:00;186
06-02-2020 00:00:00;175
07-02-2020 00:00:00;171
08-02-2020 00:00:00;168
09-02-2020 00:00:00;160
10-02-2020 00:00:00;148
11-02-2020 00:00:00;142
12-02-2020 00:00:00;125
13-02-2020 00:00:00;117
14-02-2020 00:00:00;108
15-02-2020 00:00:00;102
16-02-2020 00:00:00;90
17-02-2020 00:00:00;86
18-02-2020 00:00:00;85
19-02-2020 00:00:00;85
20-02-2020 00:00:00;86
21-02-2020 00:00:00;88
22-02-2020 00:00:00;77
23-02-2020 00:00:00;74
24-02-2020 00:00:00;67
25-02-2020 00:00:00;67
26-02-2020 00:00:00;67
27-02-2020 00:00:00;69
28-02-2020 00:00:00;88
29-02-2020 00:00:00;121
01-03-2020 00:00:00;124
02-03-2020 00:00:00;119
03-03-2020 00:00:00;214
04-03-2020 00:00:00;260
05-03-2020 00:00:00;314
06-03-2020 00:00:00;373
07-03-2020 00:00:00;486
08-03-2020 00:00:00;577
09-03-2020 00:00:00;513
10-03-2020 00:00:00;435
11-03-2020 00:00:00;345
12-03-2020 00:00:00;284
13-03-2020 00:00:00;273
14-03-2020 00:00:00;293
15-03-2020 00:00:00;298
16-03-2020 00:00:00;429
17-03-2020 00:00:00;1061
18-03-2020 00:00:00;835
19-03-2020 00:00:00;608
20-03-2020 00:00:00;493
21-03-2020 00:00:00;400
22-03-2020 00:00:00;339
23-03-2020 00:00:00;307
24-03-2020 00:00:00;283
25-03-2020 00:00:00;248
26-03-2020 00:00:00;235
27-03-2020 00:00:00;214
28-03-2020 00:00:00;190
29-03-2020 00:00:00;167
30-03-2020 00:00:00;148
31-03-2020 00:00:00;141
01-04-2020 00:00:00;168
02-04-2020 00:00:00;230
03-04-2020 00:00:00;217
04-04-2020 00:00:00;191
05-04-2020 00:00:00;167
06-04-2020 00:00:00;155
07-04-2020 00:00:00;159
08-04-2020 00:00:00;157
09-04-2020 00:00:00;160
10-04-2020 00:00:00;178
11-04-2020 00:00:00;186
12-04-2020 00:00:00;231
13-04-2020 00:00:00;305
14-04-2020 00:00:00;281
15-04-2020 00:00:00;246
16-04-2020 00:00:00;199
17-04-2020 00:00:00;195
18-04-2020 00:00:00;195
19-04-2020 00:00:00;221
20-04-2020 00:00:00;262
21-04-2020 00:00:00;263
22-04-2020 00:00:00;268
23-04-2020 00:00:00;308
24-04-2020 00:00:00;274
25-04-2020 00:00:00;251
26-04-2020 00:00:00;273
27-04-2020 00:00:00;301
28-04-2020 00:00:00;406
29-04-2020 00:00:00;414
30-04-2020 00:00:00;308
01-05-2020 00:00:00;247
02-05-2020 00:00:00;222
03-05-2020 00:00:00;210
04-05-2020 00:00:00;187
05-05-2020 00:00:00;167
06-05-2020 00:00:00;146
07-05-2020 00:00:00;128
08-05-2020 00:00:00;120
09-05-2020 00:00:00;114
10-05-2020 00:00:00;133
11-05-2020 00:00:00;244
12-05-2020 00:00:00;231
13-05-2020 00:00:00;218
14-05-2020 00:00:00;286
15-05-2020 00:00:00;217
16-05-2020 00:00:00;186
17-05-2020 00:00:00;186
18-05-2020 00:00:00;170
19-05-2020 00:00:00;152
20-05-2020 00:00:00;120
21-05-2020 00:00:00;108
22-05-2020 00:00:00;94
23-05-2020 00:00:00;84
24-05-2020 00:00:00;80
25-05-2020 00:00:00;69
26-05-2020 00:00:00;73
27-05-2020 00:00:00;66
28-05-2020 00:00:00;65
29-05-2020 00:00:00;59
30-05-2020 00:00:00;64
31-05-2020 00:00:00;55
01-06-2020 00:00:00;60
02-06-2020 00:00:00;62
03-06-2020 00:00:00;65
04-06-2020 00:00:00;114
05-06-2020 00:00:00;94
06-06-2020 00:00:00;80
07-06-2020 00:00:00;102
08-06-2020 00:00:00;93
09-06-2020 00:00:00;86
10-06-2020 00:00:00;84
11-06-2020 00:00:00;80
12-06-2020 00:00:00;77
13-06-2020 00:00:00;106
14-06-2020 00:00:00;89
15-06-2020 00:00:00;76
16-06-2020 00:00:00;68
17-06-2020 00:00:00;76
18-06-2020 00:00:00;72
19-06-2020 00:00:00;63
20-06-2020 00:00:00;60
21-06-2020 00:00:00;51
22-06-2020 00:00:00;43
23-06-2020 00:00:00;40
24-06-2020 00:00:00;46
25-06-2020 00:00:00;61
