date;value
2019-01-01;54.0
2019-01-02;52.0
2019-01-03;51.0
2019-01-04;50.0
2019-01-05;49.0
2019-01-06;48.0
2019-01-07;46.0
2019-01-08;46.0
2019-01-09;44.0
2019-01-10;44.0
2019-01-11;43.0
2019-01-12;42.0
2019-01-13;40.0
2019-01-14;40.0
2019-01-15;41.0
2019-01-16;45.0
2019-01-17;48.0
2019-01-18;45.0
2019-01-19;45.0
2019-01-20;49.0
2019-01-21;62.0
2019-01-22;222.0
2019-01-23;263.0
2019-01-24;788.0
2019-01-25;1447.0
2019-01-26;1742.0
2019-01-27;1116.0
2019-01-28;642.0
2019-01-29;957.0
2019-01-30;979.0
2019-01-31;849.0
2019-02-01;1078.0
2019-02-02;1315.0
2019-02-03;1143.0
2019-02-04;862.0
2019-02-05;664.0
2019-02-06;689.0
2019-02-07;700.0
2019-02-08;639.0
2019-02-09;563.0
2019-02-10;487.0
2019-02-11;496.0
2019-02-12;552.0
2019-02-13;455.0
2019-02-14;387.0
2019-02-15;340.0
2019-02-16;299.0
2019-02-17;272.0
2019-02-18;252.0
2019-02-19;244.0
2019-02-20;238.0
2019-02-21;215.0
2019-02-22;200.0
2019-02-23;186.0
2019-02-24;176.0
2019-02-25;170.0
2019-02-26;155.0
2019-02-27;152.0
2019-02-28;145.0
2019-03-01;141.0
2019-03-02;135.0
2019-03-03;124.0
2019-03-04;121.0
2019-03-05;113.0
2019-03-06;112.0
2019-03-07;118.0
2019-03-08;123.0
2019-03-09;122.0
2019-03-10;123.0
2019-03-11;116.0
2019-03-12;116.0
2019-03-13;115.0
2019-03-14;110.0
2019-03-15;128.0
2019-03-16;122.0
2019-03-17;108.0
2019-03-18;94.0
2019-03-19;88.0
2019-03-20;121.0
2019-03-21;148.0
2019-03-22;132.0
2019-03-23;121.0
2019-03-24;105.0
2019-03-25;88.0
2019-03-26;82.0
2019-03-27;72.0
2019-03-28;70.0
2019-03-29;65.0
2019-03-30;61.0
2019-03-31;58.0
2019-04-01;60.0
2019-04-02;59.0
2019-04-03;57.0
2019-04-04;58.0
2019-04-05;60.0
2019-04-06;64.0
2019-04-07;70.0
2019-04-08;77.0
2019-04-09;70.0
2019-04-10;79.0
2019-04-11;78.0
2019-04-12;96.0
2019-04-13;97.0
2019-04-14;94.0
2019-04-15;84.0
2019-04-16;106.0
2019-04-17;152.0
2019-04-18;127.0
2019-04-19;127.0
2019-04-20;194.0
2019-04-21;193.0
2019-04-22;158.0
2019-04-23;131.0
2019-04-24;119.0
2019-04-25;122.0
2019-04-26;276.0
2019-04-27;232.0
2019-04-28;187.0
2019-04-29;164.0
2019-04-30;141.0
2019-05-01;121.0
2019-05-02;103.0
2019-05-03;94.0
2019-05-04;94.0
2019-05-05;91.0
2019-05-06;84.0
2019-05-07;76.0
2019-05-08;68.0
2019-05-09;63.0
2019-05-10;58.0
2019-05-11;71.0
2019-05-12;74.0
2019-05-13;61.0
2019-05-14;60.0
2019-05-15;55.0
2019-05-16;54.0
2019-05-17;89.0
2019-05-18;216.0
2019-05-19;200.0
2019-05-20;472.0
2019-05-21;287.0
2019-05-22;188.0
2019-05-23;146.0
2019-05-24;125.0
2019-05-25;126.0
2019-05-26;116.0
2019-05-27;111.0
2019-05-28;107.0
2019-05-29;95.0
2019-05-30;89.0
2019-05-31;83.0
2019-06-01;74.0
2019-06-02;72.0
2019-06-03;64.0
2019-06-04;61.0
2019-06-05;65.0
2019-06-06;109.0
2019-06-07;98.0
2019-06-08;78.0
2019-06-09;72.0
2019-06-10;63.0
2019-06-11;60.0
2019-06-12;63.0
2019-06-13;56.0
2019-06-14;58.0
2019-06-15;54.0
2019-06-16;44.0
2019-06-17;45.0
2019-06-18;38.0
2019-06-19;44.0
2019-06-20;48.0
2019-06-21;49.0
2019-06-22;56.0
2019-06-23;53.0
2019-06-24;51.0
2019-06-25;49.0
2019-06-26;44.0
2019-06-27;43.0
2019-06-28;43.0
2019-06-29;42.0
2019-06-30;39.0
2019-07-01;42.0
2019-07-02;47.0
2019-07-03;52.0
2019-07-04;50.0
2019-07-05;52.0
2019-07-06;51.0
2019-07-07;53.0
2019-07-08;64.0
2019-07-09;191.0
2019-07-10;118.0
2019-07-11;74.0
2019-07-12;50.0
2019-07-13;40.0
2019-07-14;45.0
2019-07-15;54.0
2019-07-16;50.0
2019-07-17;46.0
2019-07-18;43.0
2019-07-19;37.0
2019-07-20;34.0
2019-07-21;37.0
2019-07-22;47.0
2019-07-23;50.0
2019-07-24;47.0
2019-07-25;45.0
2019-07-26;43.0
2019-07-27;48.0
2019-07-28;51.0
2019-07-29;55.0
2019-07-30;51.0
2019-07-31;48.0
2019-08-01;45.0
2019-08-02;49.0
2019-08-03;54.0
2019-08-04;51.0
2019-08-05;49.0
2019-08-06;44.0
2019-08-07;42.0
2019-08-08;43.0
2019-08-09;45.0
2019-08-10;54.0
2019-08-11;54.0
2019-08-12;54.0
2019-08-13;53.0
2019-08-14;47.0
2019-08-15;46.0
2019-08-16;45.0
2019-08-17;43.0
2019-08-18;43.0
2019-08-19;43.0
2019-08-20;45.0
2019-08-21;45.0
2019-08-22;41.0
2019-08-23;43.0
2019-08-24;49.0
2019-08-25;48.0
2019-08-26;49.0
2019-08-27;56.0
2019-08-28;58.0
2019-08-29;56.0
2019-08-30;47.0
2019-08-31;44.0
2019-09-01;44.0
2019-09-02;45.0
2019-09-03;44.0
2019-09-04;45.0
2019-09-05;43.0
2019-09-06;42.0
2019-09-07;41.0
2019-09-08;44.0
2019-09-09;46.0
2019-09-10;45.0
2019-09-11;50.0
2019-09-12;57.0
2019-09-13;66.0
2019-09-14;56.0
2019-09-15;47.0
2019-09-16;64.0
2019-09-17;67.0
2019-09-18;64.0
2019-09-19;76.0
2019-09-20;62.0
2019-09-21;63.0
2019-09-22;60.0
2019-09-23;54.0
2019-09-24;51.0
2019-09-25;46.0
2019-09-26;42.0
2019-09-27;41.0
2019-09-28;37.0
2019-09-29;37.0
2019-09-30;37.0
2019-10-01;43.0
2019-10-02;44.0
2019-10-03;45.0
