date;value;year;month;day;week;startDate;endDate;weekOrder
2019-01-01 00:00:00;54.0;2019;1;1;0;-;-;0
2019-01-02 00:00:00;52.0;2019;1;2;0;-;-;0
2019-01-03 00:00:00;51.0;2019;1;3;0;-;-;0
2019-01-04 00:00:00;50.0;2019;1;4;0;-;-;0
2019-01-05 00:00:00;49.0;2019;1;5;0;-;-;0
2019-01-06 00:00:00;48.0;2019;1;6;0;-;-;0
2019-01-07 00:00:00;46.0;2019;1;7;1;2019 1 7;2019 1 13;1
2019-01-08 00:00:00;46.0;2019;1;8;1;-;-;1
2019-01-09 00:00:00;44.0;2019;1;9;1;-;-;1
2019-01-10 00:00:00;44.0;2019;1;10;1;-;-;1
2019-01-11 00:00:00;43.0;2019;1;11;1;-;-;1
2019-01-12 00:00:00;42.0;2019;1;12;1;-;-;1
2019-01-13 00:00:00;40.0;2019;1;13;1;-;-;1
2019-01-14 00:00:00;40.0;2019;1;14;2;2019 1 14;2019 1 20;2
2019-01-15 00:00:00;41.0;2019;1;15;2;-;-;2
2019-01-16 00:00:00;45.0;2019;1;16;2;-;-;2
2019-01-17 00:00:00;48.0;2019;1;17;2;-;-;2
2019-01-18 00:00:00;45.0;2019;1;18;2;-;-;2
2019-01-19 00:00:00;45.0;2019;1;19;2;-;-;2
2019-01-20 00:00:00;49.0;2019;1;20;2;-;-;2
2019-01-21 00:00:00;62.0;2019;1;21;3;2019 1 21;2019 1 27;3
2019-01-22 00:00:00;222.0;2019;1;22;3;-;-;3
2019-01-23 00:00:00;263.0;2019;1;23;3;-;-;3
2019-01-24 00:00:00;788.0;2019;1;24;3;-;-;3
2019-01-25 00:00:00;1447.0;2019;1;25;3;-;-;3
2019-01-26 00:00:00;1742.0;2019;1;26;3;-;-;3
2019-01-27 00:00:00;1116.0;2019;1;27;3;-;-;3
2019-01-28 00:00:00;642.0;2019;1;28;4;2019 1 28;2019 2 3;4
2019-01-29 00:00:00;957.0;2019;1;29;4;-;-;4
2019-01-30 00:00:00;979.0;2019;1;30;4;-;-;4
2019-01-31 00:00:00;849.0;2019;1;31;4;-;-;4
2019-02-01 00:00:00;1078.0;2019;2;1;4;-;-;4
2019-02-02 00:00:00;1315.0;2019;2;2;4;-;-;4
2019-02-03 00:00:00;1143.0;2019;2;3;4;-;-;4
2019-02-04 00:00:00;862.0;2019;2;4;5;2019 2 4;2019 2 10;1
2019-02-05 00:00:00;664.0;2019;2;5;5;-;-;1
2019-02-06 00:00:00;689.0;2019;2;6;5;-;-;1
2019-02-07 00:00:00;700.0;2019;2;7;5;-;-;1
2019-02-08 00:00:00;639.0;2019;2;8;5;-;-;1
2019-02-09 00:00:00;563.0;2019;2;9;5;-;-;1
2019-02-10 00:00:00;487.0;2019;2;10;5;-;-;1
2019-02-11 00:00:00;496.0;2019;2;11;6;2019 2 11;2019 2 17;2
2019-02-12 00:00:00;552.0;2019;2;12;6;-;-;2
2019-02-13 00:00:00;455.0;2019;2;13;6;-;-;2
2019-02-14 00:00:00;387.0;2019;2;14;6;-;-;2
2019-02-15 00:00:00;340.0;2019;2;15;6;-;-;2
2019-02-16 00:00:00;299.0;2019;2;16;6;-;-;2
2019-02-17 00:00:00;272.0;2019;2;17;6;-;-;2
2019-02-18 00:00:00;252.0;2019;2;18;7;2019 2 18;2019 2 24;3
2019-02-19 00:00:00;244.0;2019;2;19;7;-;-;3
2019-02-20 00:00:00;238.0;2019;2;20;7;-;-;3
2019-02-21 00:00:00;215.0;2019;2;21;7;-;-;3
2019-02-22 00:00:00;200.0;2019;2;22;7;-;-;3
2019-02-23 00:00:00;186.0;2019;2;23;7;-;-;3
2019-02-24 00:00:00;176.0;2019;2;24;7;-;-;3
2019-02-25 00:00:00;170.0;2019;2;25;8;2019 2 25;2019 2 31;4
2019-02-26 00:00:00;155.0;2019;2;26;8;-;-;4
2019-02-27 00:00:00;152.0;2019;2;27;8;-;-;4
2019-02-28 00:00:00;145.0;2019;2;28;8;-;-;4
2019-2-29 00:00:00;;2019;2;29;8;-;-;4
2019-2-30 00:00:00;;2019;2;30;8;-;-;4
2019-2-31 00:00:00;;2019;2;31;8;-;-;4
2019-03-01 00:00:00;141.0;2019;3;1;9;2019 3 1;2019 3 7;1
2019-03-02 00:00:00;135.0;2019;3;2;9;-;-;1
2019-03-03 00:00:00;124.0;2019;3;3;9;-;-;1
2019-03-04 00:00:00;121.0;2019;3;4;9;-;-;1
2019-03-05 00:00:00;113.0;2019;3;5;9;-;-;1
2019-03-06 00:00:00;112.0;2019;3;6;9;-;-;1
2019-03-07 00:00:00;118.0;2019;3;7;9;-;-;1
2019-03-08 00:00:00;123.0;2019;3;8;10;2019 3 8;2019 3 14;2
2019-03-09 00:00:00;122.0;2019;3;9;10;-;-;2
2019-03-10 00:00:00;123.0;2019;3;10;10;-;-;2
2019-03-11 00:00:00;116.0;2019;3;11;10;-;-;2
2019-03-12 00:00:00;116.0;2019;3;12;10;-;-;2
2019-03-13 00:00:00;115.0;2019;3;13;10;-;-;2
2019-03-14 00:00:00;110.0;2019;3;14;10;-;-;2
2019-03-15 00:00:00;128.0;2019;3;15;11;2019 3 15;2019 3 21;3
2019-03-16 00:00:00;122.0;2019;3;16;11;-;-;3
2019-03-17 00:00:00;108.0;2019;3;17;11;-;-;3
2019-03-18 00:00:00;94.0;2019;3;18;11;-;-;3
